transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,is_outlier,date_imputed,amount_was_invalid
T12850,U076,2021-04-16,expense,rent,3010.0,upi,kol,,False,True,False
T5770,U107,2021-04-16,expense,health,4846.0,cash,che,Books,False,True,False
T6195,U038,2021-04-16,income,salary,855881.0,banktransfer,jaipur,,False,True,False
T12096,U075,2021-04-16,expense,food,4452.0,credit card,ban,,False,True,False
T5731,U027,2023-02-04,expense,foods,2206.0,bank_transfer,unknown,xyz123,False,False,False
T0909,U013,2024-04-20,expense,entertainment,7038.0,credit card,jai,Gym membership,False,False,False
T7565,U075,2021-04-16,expense,travl,4286.0,banktransfer,hyderabad,,False,True,False
T1653,U099,2024-12-16,expense,education,8119.0,credit card,hyderabad,Books,False,False,False
T6239,U150,2021-04-16,expense,education,5768.0,credit card,bangalore,Uber ride,False,True,True
T2849,U150,2022-10-10,income,investment,19947.0,bank transfr,lucknow,Coffee,False,False,False
T3127,U023,2021-05-22,expense,food,4694.5,upi,unknown,Shopping,False,False,True
T4949,U101,2021-04-16,expense,foodd,3865.0,banktransfer,jai,,False,True,False
T3563,U007,2021-04-16,expense,travel,2407.0,crd,che,Internet bill,False,True,False
T10891,U055,2021-04-16,expense,food,3085.0,credit card,jaipur,Electricity bill,False,True,False
T10872,U080,2023-02-22,expense,health,5252.0,unknown,delhi,Online course,False,False,False
T6786,U017,2021-04-16,expense,rent,5238.0,bank transfr,hyderabad,Train ticket,False,True,True
T3396,U136,2021-04-16,expense,rent,7619.0,cash,pune,Movie tickets,False,True,False
T1215,U150,2021-04-16,expense,others,4823.0,cash,ahmedabad,...,False,True,False
T5293,U044,2021-04-16,expense,helth,8497.0,unknown,kolkata,Gym membership,False,True,False
T12220,U122,2021-04-16,expense,foods,999999.0,upi,luc,,False,True,False
T2003,U149,2021-04-16,expense,travel,8241.0,upi,unknown,Movie tickets,False,True,False
T9452,U062,2021-04-16,expense,rent,8579.0,bank transfer,ahmedabad,...,False,True,False
T4924,U082,2021-04-16,expense,foods,235.0,credit card,chennai,ATM withdrawal,False,True,False
T11911,U069,2021-04-16,expense,foodd,1263.0,upi,lucknow,,False,True,False
T11270,U022,2023-08-09,expense,health,2134.0,bank transfr,jai,Books,False,False,False
T13032,U150,2021-04-16,expense,education,2228.0,cash,delhi,Movie tickets,False,True,False
T6095,U110,2024-01-11,expense,rent,4991.0,banktransfer,delhi,ATM withdrawal,False,False,True
T0361,U055,2023-08-16,expense,utilities,1081.0,crd,pune,,False,False,False
T7314,U103,2021-04-16,expense,entertainment,371.0,cash,mum,Uber ride,False,True,False
T11430,U108,2021-04-16,expense,food,225.0,crd,pune,!!!,False,True,False
T12663,U052,2021-04-16,expense,rent,23776.0,upi,bangalore,Doctor consultation,False,True,False
T6106,U008,2021-04-16,expense,health,6707.0,credit card,delhi,,False,True,False
T9628,U096,2021-04-16,expense,fod,8380.0,bank transfer,hyderabad,,False,True,False
T1623,U017,2021-04-16,expense,utlities,601.0,bank transfer,jaipur,Medicine,False,True,False
T13765,U034,2021-04-16,expense,others,3219.0,cash,hyderabad,Internet bill,False,True,False
T10347,U017,2021-04-16,expense,rnt,8182.0,cash,unknown,test,False,True,False
T5930,U011,2021-04-16,expense,savings,8111.0,unknown,del,Grocery shopping,False,True,False
T1627,U069,2021-04-16,expense,utilties,4712.0,bank transfer,hyderabad,EMI payment,False,True,True
T4242,U053,2024-08-15,income,salary,57534.0,bank transfr,mumbai,Coffee,False,False,True
T12437,U004,2021-04-16,expense,edu,3110.0,banktransfer,chennai,Doctor consultation,False,True,False
T8670,U030,2021-04-16,expense,foodd,4277.0,crd,pune,Train ticket,False,True,False
T11341,U127,2021-04-16,expense,foods,3047.0,crd,mumbai,Grocery shopping,False,True,False
T9556,U008,2024-06-27,income,freelance,10183.0,unknown,delhi,,False,False,False
T2449,U028,2021-04-16,expense,travel,9888.0,bank transfer,del,Shopping,False,True,False
T4357,U088,2021-04-16,expense,rentt,7217.0,cash,delhi,Internet bill,False,True,False
T0815,U141,2021-10-05,expense,education,9725.0,bank transfr,che,Restaurant dinner,False,False,False
T7919,U086,2023-05-27,expense,entertainment,9648.0,bank transfr,kolkata,!!!,False,False,False
T5695,U061,2023-10-22,expense,traval,1643.0,credit card,mumbai,Petrol,False,False,False
T2471,U066,2021-04-16,expense,education,1090.0,cash,del,test,False,True,True
T3475,U046,2022-12-10,income,freelance,70075.0,upi,kolkata,Gym membership,False,False,False
T5875,U081,2021-10-31,expense,foods,2610.5,bank transfr,mumbai,Shopping,False,False,True
T10128,U104,2024-09-06,expense,unknown,2295.0,cash,hyderabad,,False,False,False
T3491,U061,2021-04-16,expense,educaton,1206.0,cash,ahmedabad,Shopping,False,True,False
T2225,U028,2023-07-06,expense,education,8204.0,crd,unknown,!!!,False,False,False
T6946,U068,2021-04-16,expense,edu,5359.0,upi,hyderabad,xyz123,False,True,True
T2022,U056,2021-04-16,expense,food,4823.0,banktransfer,del,Medicine,False,True,True
T13529,U123,2021-11-05,expense,health,9771.0,bank_transfer,pune,Petrol,False,False,False
T12210,U118,2022-01-25,expense,rentt,20509.0,bank transfr,bangalore,Train ticket,False,False,False
T6904,U063,2024-09-13,income,bonus,62193.0,upi,che,Electricity bill,False,False,False
T0713,U055,2023-08-22,expense,utility,3367.0,bank_transfer,ahmedabad,Monthly rent payment,False,False,False
T7323,U009,2024-05-13,expense,health,2721.0,upi,bangalore,EMI payment,False,False,False
T10231,U089,2021-04-16,expense,rent,2962.0,upi,ahmedabad,Books,False,True,False
T11570,U052,2022-09-23,expense,travel,8283.0,credit card,ahmedabad,...,False,False,False
T13926,U134,2024-09-16,expense,utilities,3520.0,cash,mumbai,test,False,False,False
T0884,U115,2021-04-16,expense,travel,5524.0,bank transfer,hyderabad,Fixed deposit,False,True,False
T5033,U119,2021-12-18,expense,traval,4914.0,upi,pune,Lunch,False,False,True
T8492,U101,2021-04-16,expense,entertainment,1800.0,bank transfer,ahmedabad,Internet bill,False,True,False
T4699,U090,2021-04-16,income,investment,47194.5,cash,delhi,ATM withdrawal,False,True,True
T1841,U097,2021-04-16,income,others,57173.0,cash,unknown,,False,True,False
T3041,U018,2021-07-11,expense,rnt,2966.0,cash,bangalore,EMI payment,False,False,False
T7693,U116,2021-04-16,expense,entertain,1004.0,bank transfer,kolkata,,False,True,False
T0071,U078,2024-04-26,expense,rnt,5162.0,cash,pune,,False,False,True
T12197,U026,2021-04-16,expense,travel,9154.0,crd,delhi,...,False,True,False
T8563,U080,2021-04-16,expense,travel,5247.0,cash,unknown,misc,False,True,True
T6626,U049,2022-08-14,expense,food,2637.0,cash,jaipur,Fixed deposit,False,False,False
T7302,U102,2021-04-16,expense,food,1073.0,crd,lucknow,,False,True,False
T6588,U125,2021-04-16,expense,foods,425.0,banktransfer,jai,Petrol,False,True,False
T3552,U095,2024-01-21,income,bonus,34145.0,bank transfer,hyderabad,!!!,False,False,False
T1620,U040,2021-04-16,expense,utilties,527.0,cash,mum,,False,True,False
T7912,U115,2021-04-16,expense,saving,5195.0,upi,luc,Grocery shopping,False,True,False
T3571,U064,2024-10-05,expense,entrtnmnt,3143.0,upi,chennai,Books,False,False,False
T10957,U081,2021-04-16,expense,travel,2135.0,cash,lucknow,Medicine,False,True,False
T0294,U080,2021-04-16,expense,foodd,2163.0,upi,mumbai,Doctor consultation,False,True,False
T9414,U149,2021-04-16,expense,rentt,42078.0,upi,kolkata,,False,True,False
T10537,U079,2021-04-16,expense,foods,2778.0,upi,ahmedabad,...,False,True,False
T1125,U105,2024-11-22,expense,health,3929.0,crd,unknown,Shopping,False,False,False
T8978,U103,2021-04-16,income,freelance,23852.0,crd,luc,Coffee,False,True,False
T5936,U022,2021-06-13,expense,unknown,2295.0,unknown,chennai,Shopping,False,False,True
T3751,U103,2024-05-31,income,bonus,49639.0,unknown,hyderabad,Online course,False,False,False
T0626,U122,2021-04-16,expense,education,3150.0,banktransfer,che,Coffee,False,True,False
T9500,U090,2022-06-07,expense,helth,9408.0,cash,hyderabad,Electricity bill,False,False,False
T1537,U056,2021-04-16,expense,entertain,4114.0,upi,delhi,Fixed deposit,False,True,False
T9185,U117,2021-04-16,income,bonus,57598.0,bank transfr,lucknow,,False,True,True
T7093,U096,2023-03-29,expense,travel,9681.0,upi,delhi,Online course,False,False,False
T1990,U121,2021-04-16,expense,travel,3011.0,crd,kolkata,Grocery shopping,False,True,False
T4706,U150,2021-04-16,expense,health,3150.0,upi,jaipur,,False,True,False
T8416,U133,2021-04-16,income,bonus,32789.0,cash,bangalore,Lunch,False,True,False
T11932,U100,2023-02-10,expense,utility,6704.0,upi,mum,Doctor consultation,False,False,False
T4683,U062,2022-08-27,expense,travel,606.0,credit card,chennai,Gym membership,False,False,True
T10528,U071,2021-04-16,expense,entertainment,3121.0,bank_transfer,pune,Grocery shopping,False,True,False
T10806,U149,2021-04-16,expense,food,3802.0,upi,jaipur,Petrol,False,True,False
T10505,U099,2021-04-16,expense,education,544.0,upi,ahmedabad,Lunch,False,True,False
T13682,U145,2021-04-16,expense,travel,9053.0,unknown,lucknow,...,False,True,False
T12807,U029,2021-06-05,income,freelance,32381.0,bank transfer,chennai,...,False,False,False
T6557,U007,2021-04-16,expense,travel,606.0,upi,pune,test,False,True,True
T0409,U137,2021-02-08,expense,utility,8841.0,unknown,mumbai,,False,False,False
T10784,U022,2021-04-16,income,investment,46219.0,crd,lucknow,,False,True,False
T2457,U054,2021-04-16,expense,traval,4914.0,cash,mumbai,misc,False,True,True
T12395,U062,2021-04-16,expense,utilties,4451.0,bank transfer,mumbai,...,False,True,False
T1882,U101,2021-04-16,expense,education,9358.0,crd,mumbai,,False,True,False
T13924,U035,2021-04-16,expense,rent,3569.0,cash,jaipur,Online course,False,True,False
T13453,U110,2024-11-05,expense,rnt,2979.0,cash,hyd,Medicine,False,False,False
T9836,U058,2024-09-11,expense,travel,1863.0,bank_transfer,hyderabad,Lunch,False,False,False
T13845,U066,2021-04-16,expense,rent,34984.0,upi,chennai,Petrol,False,True,False
T11381,U107,2021-04-16,income,investment,44031.0,bank transfr,hyd,Online course,False,True,False
T5758,U049,2021-04-16,expense,rentt,26728.0,upi,chennai,,False,True,True
T12059,U077,2021-04-16,income,salary,24920.0,upi,chennai,Online course,False,True,False
T8889,U131,2021-04-16,expense,savings,8861.0,bank transfr,pune,...,False,True,False
T10327,U136,2021-04-16,expense,health,5085.0,bank_transfer,kol,Online course,False,True,True
T4967,U113,2022-02-17,expense,rentt,47473.0,banktransfer,hyderabad,Online course,False,False,False
T11849,U040,2021-04-16,income,investment,75822.0,cash,mumbai,Medicine,False,True,False
T5167,U014,2021-04-16,expense,food,677.0,bank_transfer,mumbai,Medicine,False,True,False
T3952,U120,2021-04-16,expense,rent,43252.0,cash,delhi,test,False,True,False
T5844,U086,2021-04-24,expense,food,498.0,crd,lucknow,ATM withdrawal,False,False,True
T13040,U009,2021-04-16,expense,foods,2610.5,upi,ban,misc,False,True,True
T3167,U145,2021-04-16,income,bonus,57358.0,cash,delhi,!!!,False,True,False
T8867,U105,2021-04-16,expense,unknown,2295.0,crd,mumbai,Medicine,False,True,False
T5926,U016,2021-04-16,expense,rent,4583.0,bank_transfer,unknown,Lunch,False,True,False
T13662,U129,2021-04-16,expense,misc,4952.0,cash,hyderabad,ATM withdrawal,False,True,False
T13593,U018,2021-04-16,expense,others,3941.0,bank transfer,mumbai,Lunch,False,True,False
T12216,U116,2021-04-16,income,others,47262.0,banktransfer,kol,,False,True,False
T8335,U001,2021-04-16,expense,entertain,1998.0,upi,lucknow,Internet bill,False,True,False
T4933,U018,2021-04-16,expense,food,4823.0,unknown,pune,Coffee,False,True,True
T7036,U105,2021-04-16,expense,travel,1326.0,credit card,unknown,asdfgh,False,True,False
T9072,U066,2021-04-16,expense,savings,6766.0,upi,mumbai,Medicine,False,True,True
T8270,U081,2021-04-16,expense,foodd,276.0,bank_transfer,pune,Restaurant dinner,False,True,False
T12265,U094,2022-04-02,expense,utlities,5455.0,crd,hyderabad,ATM withdrawal,False,False,True
T4637,U005,2021-04-16,expense,utlities,5455.0,upi,pun,ATM withdrawal,False,True,True
T9022,U089,2024-03-10,expense,rentt,21376.0,upi,che,test,False,False,False
T7016,U145,2021-01-09,expense,utility,7391.0,cash,hyderabad,Uber ride,False,False,False
T12109,U144,2021-04-16,expense,travel,2990.0,upi,mum,Train ticket,False,True,False
T9952,U045,2022-12-24,expense,utility,2230.0,unknown,delhi,ATM withdrawal,False,False,False
T13401,U064,2021-09-17,expense,fod,6197.0,upi,unknown,xyz123,False,False,False
T11100,U142,2021-04-16,expense,food,6502.0,credit card,jaipur,Shopping,False,True,False
T4072,U067,2021-04-16,expense,unknown,2295.0,crd,delhi,Petrol,False,True,False
T8303,U091,2021-04-16,expense,food,498.0,bank transfr,kol,xyz123,False,True,True
T9115,U060,2021-04-16,expense,entertainment,9939.0,bank transfer,pune,,False,True,False
T2668,U126,2021-04-16,expense,rent,1518.0,bank transfer,luc,Electricity bill,False,True,False
T1256,U035,2021-04-16,expense,traval,2985.0,cash,delhi,Restaurant dinner,False,True,False
T7219,U002,2024-06-28,expense,educaton,3150.0,bank transfr,ahmedabad,,False,False,False
T7845,U014,2021-04-16,expense,utilities,6671.0,upi,ahmedabad,Doctor consultation,False,True,False
T4986,U124,2023-07-04,expense,traval,1409.0,upi,chennai,xyz123,False,False,False
T1883,U047,2021-04-16,expense,edu,2497.0,bank transfr,kol,!!!,False,True,False
T7034,U108,2021-04-16,expense,utility,6324.0,crd,chennai,Gym membership,False,True,False
T11835,U125,2021-04-16,expense,education,7315.0,bank transfr,jaipur,,False,True,False
T0231,U031,2021-04-16,expense,utlities,7080.0,bank_transfer,kolkata,test,False,True,False
T2017,U090,2022-01-14,expense,utility,7821.0,cash,pun,test,False,False,False
T9479,U114,2021-08-14,expense,rent,5238.0,upi,unknown,Restaurant dinner,False,False,True
T1312,U070,2021-04-16,income,freelance,23504.0,bank transfer,hyderabad,Electricity bill,False,True,False
T0010,U017,2021-04-16,expense,unknown,2295.0,cash,ahm,Books,False,True,False
T11433,U083,2021-04-16,expense,food,2683.0,cash,delhi,xyz123,False,True,False
T4446,U017,2021-04-16,expense,food,5022.0,cash,hyderabad,Internet bill,False,True,False
T2782,U093,2021-04-01,expense,food,4694.5,unknown,pune,Petrol,False,False,True
T11291,U040,2024-06-10,income,bonus,33565.0,cash,hyderabad,Gym membership,False,False,False
T6224,U092,2021-04-16,income,salary,66678.0,bank transfr,chennai,EMI payment,False,True,False
T4124,U119,2021-04-16,expense,education,6304.0,upi,pune,Fixed deposit,False,True,False
T10115,U091,2021-04-16,income,freelance,50009.0,bank transfer,pune,,False,True,False
T3531,U134,2021-04-16,expense,food,5811.0,bank transfer,pune,,False,True,False
T1066,U057,2023-02-05,expense,entertainment,584.0,upi,pune,Monthly rent payment,False,False,True
T9037,U142,2021-04-16,income,salary,70693.0,cash,ahmedabad,,False,True,False
T12498,U012,2021-04-16,expense,helth,2603.0,cash,kolkata,Monthly rent payment,False,True,False
T6556,U037,2021-04-16,expense,foods,314.0,cash,mum,Train ticket,False,True,False
T4233,U089,2024-10-30,expense,education,9806.0,bank_transfer,chennai,Petrol,False,False,False
T1925,U060,2023-02-04,expense,foodd,3762.0,banktransfer,hyd,,False,False,False
T9678,U092,2021-04-16,expense,travel,9891.0,upi,unknown,Grocery shopping,False,True,False
T3468,U143,2021-04-16,expense,health,6869.0,crd,jaipur,asdfgh,False,True,False
T2217,U113,2023-04-02,expense,rnt,6756.0,bank_transfer,pun,,False,False,False
T7901,U028,2021-09-07,expense,entertainment,356.0,banktransfer,jaipur,,False,False,False
T9324,U093,2021-10-03,income,others,20156.0,cash,pune,,False,False,False
T6515,U121,2024-03-16,expense,health,3790.0,crd,ahm,...,False,False,False
T3401,U071,2021-04-16,expense,unknown,2295.0,credit card,bangalore,Gym membership,False,True,False
T2246,U061,2021-04-16,expense,foods,3765.0,bank transfer,chennai,Fixed deposit,False,True,False
T10375,U013,2023-08-06,income,freelance,47197.0,bank transfer,delhi,Electricity bill,False,False,True
T7960,U028,2021-04-16,expense,entertainment,4638.0,credit card,unknown,!!!,False,True,False
T13793,U141,2021-04-16,income,freelance,11650.0,cash,hyd,!!!,False,True,False
T7316,U144,2021-04-16,expense,utilties,5790.0,unknown,pun,misc,False,True,False
T4875,U076,2021-04-16,expense,rentt,12435.0,upi,lucknow,,False,True,False
T1216,U042,2021-04-16,income,investment,31183.0,bank transfer,jaipur,Shopping,False,True,False
T11898,U035,2023-04-13,expense,food,775.0,upi,unknown,Monthly rent payment,False,False,False
T3071,U139,2021-04-16,expense,entertainment,8230.0,bank_transfer,lucknow,EMI payment,False,True,False
T12468,U043,2021-04-16,expense,rnt,5162.0,upi,ahmedabad,Monthly rent payment,False,True,True
T5511,U114,2021-04-16,expense,fod,5918.0,bank transfer,pune,,False,True,False
T5607,U093,2021-04-16,income,investment,73830.0,upi,pune,xyz123,False,True,False
T9770,U040,2021-04-16,expense,rent,23340.0,crd,lucknow,Doctor consultation,False,True,False
T11278,U009,2022-07-19,expense,rentt,40813.0,upi,delhi,Books,False,False,False
T10427,U077,2024-12-31,expense,utlities,5455.0,upi,pune,test,False,False,True
T1377,U044,2021-04-16,expense,food,2033.0,upi,mumbai,EMI payment,False,True,False
T2469,U038,2021-04-16,income,bonus,44932.0,bank transfr,kol,Lunch,False,True,False
T6621,U104,2021-04-16,expense,food,999999.0,cash,jaipur,xyz123,False,True,False
T7679,U079,2024-05-03,expense,education,1090.0,cash,hyderabad,Grocery shopping,False,False,True
T8635,U039,2021-04-16,expense,travel,330.0,bank transfer,chennai,,False,True,False
T4874,U123,2024-12-30,expense,travel,8592.0,cash,pun,Lunch,False,False,False
T3143,U025,2023-05-01,expense,rent,5238.0,cash,delhi,Monthly rent payment,False,False,True
T13475,U033,2021-04-16,income,investment,29235.0,bank transfer,unknown,xyz123,False,True,False
T8560,U023,2021-04-16,expense,health,2143.0,credit card,delhi,asdfgh,False,True,False
T8417,U089,2022-05-17,expense,foods,4945.0,crd,ahmedabad,test,False,False,False
T8379,U106,2021-04-16,expense,entertainment,8152.0,upi,delhi,Uber ride,False,True,False
T13913,U006,2021-04-16,expense,other,7300.0,bank_transfer,pune,!!!,False,True,False
T11359,U135,2021-04-16,expense,foods,4603.0,bank transfer,ahmedabad,EMI payment,False,True,False
T8916,U035,2022-10-13,expense,entrtnmnt,4719.0,credit card,mum,Coffee,False,False,False
T5752,U112,2021-04-16,expense,rent,27792.0,bank transfer,pun,Doctor consultation,False,True,False
T11316,U053,2021-04-16,expense,travel,6691.0,credit card,hyd,Doctor consultation,False,True,False
T4377,U065,2022-04-05,expense,rent,5935.0,bank transfr,hyd,Coffee,False,False,False
T10191,U150,2021-04-16,expense,travel,4705.0,upi,mumbai,ATM withdrawal,False,True,True
T10267,U128,2021-10-19,expense,rent,6484.0,upi,jai,Fixed deposit,False,False,False
T10019,U029,2021-04-16,expense,entertainment,2398.0,bank transfer,luc,Medicine,False,True,False
T1053,U081,2021-04-16,expense,food,498.0,cash,delhi,Coffee,False,True,True
T2960,U124,2022-09-05,expense,rent,523.0,cash,jaipur,Grocery shopping,False,False,True
T5402,U053,2021-11-02,income,others,13131.0,credit card,lucknow,Fixed deposit,False,False,False
T1989,U027,2021-04-16,expense,health,6321.0,cash,ahm,ATM withdrawal,False,True,False
T7284,U114,2021-04-16,expense,rent,28207.0,banktransfer,unknown,Fixed deposit,False,True,False
T11284,U125,2021-04-16,expense,travel,4705.0,crd,che,Train ticket,False,True,True
T1195,U102,2021-04-16,expense,rentt,10749.0,cash,lucknow,Uber ride,False,True,False
T6008,U053,2023-05-21,expense,foodd,2232.0,unknown,pun,Books,False,False,False
T11465,U149,2021-04-16,expense,savings,8161.0,credit card,bangalore,Restaurant dinner,False,True,False
T8940,U088,2024-11-05,expense,unknown,2295.0,cash,bangalore,,False,False,False
T2577,U075,2022-07-13,expense,utilities,4923.0,bank transfer,mumbai,,False,False,False
T6064,U104,2023-11-04,expense,food,498.0,bank_transfer,delhi,,False,False,True
T1619,U053,2021-04-16,income,investment,47194.5,banktransfer,ahm,,False,True,True
T1405,U109,2021-04-16,income,freelance,14180.0,cash,mumbai,Online course,False,True,False
T0352,U149,2021-04-16,expense,utilities,8479.0,upi,bangalore,Monthly rent payment,False,True,False
T5467,U104,2023-11-05,expense,food,5292.0,bank_transfer,hyderabad,Gym membership,False,False,False
T10397,U013,2021-04-16,expense,travel,3942.0,bank_transfer,lucknow,!!!,False,True,False
T3306,U065,2022-07-22,expense,entertainment,4956.5,bank transfer,delhi,Doctor consultation,False,False,True
T12923,U075,2021-04-16,expense,entertainment,8943.0,crd,pune,Monthly rent payment,False,True,False
T2497,U149,2021-04-16,expense,utilities,3159.0,credit card,delhi,ATM withdrawal,False,True,False
T12309,U024,2021-04-16,expense,rent,12484.0,crd,ban,,False,True,False
T6608,U081,2021-04-16,expense,rent,4331.0,cash,hyderabad,Train ticket,False,True,False
T4870,U014,2024-10-04,expense,rnt,9348.0,bank transfer,jaipur,,False,False,False
T12187,U060,2021-04-16,expense,food,8174.0,bank transfer,pune,,False,True,False
T13685,U047,2021-08-03,income,investment,74243.0,cash,jaipur,Shopping,False,False,False
T6605,U124,2023-10-17,expense,food,8640.0,cash,jaipur,Coffee,False,False,False
T3940,U085,2021-06-25,expense,food,9784.0,crd,jaipur,Uber ride,False,False,False
T12289,U001,2021-04-16,expense,rentt,45093.0,crd,pun,Electricity bill,False,True,False
T12849,U049,2021-04-16,expense,food,2130.0,upi,lucknow,Restaurant dinner,False,True,False
T6257,U036,2023-02-21,expense,food,4816.0,upi,pun,Lunch,False,False,False
T3936,U039,2021-04-16,expense,food,2247.0,credit card,chennai,Uber ride,False,True,False
T10279,U087,2021-03-13,income,freelance,46587.0,crd,lucknow,asdfgh,False,False,False
T11375,U060,2021-04-16,expense,entertainment,584.0,cash,lucknow,Internet bill,False,True,True
T2772,U093,2021-04-16,expense,travel,3345.0,banktransfer,unknown,xyz123,False,True,False
T0177,U038,2022-06-13,expense,others,6610.0,cash,pune,Restaurant dinner,False,False,False
T3986,U077,2024-12-20,expense,travel,5247.0,upi,jaipur,Fixed deposit,False,False,True
T3810,U004,2021-04-16,expense,educaton,5305.0,bank transfer,che,Restaurant dinner,False,True,False
T7155,U060,2021-04-16,income,bonus,67675.0,bank transfer,bangalore,,False,True,False
T8163,U016,2021-03-29,expense,entertain,7845.0,cash,del,asdfgh,False,False,False
T7044,U049,2021-04-16,expense,entertainment,7183.0,cash,unknown,Shopping,False,True,False
T3840,U144,2022-08-23,expense,utilties,6908.0,credit card,ban,,False,False,False
T3774,U020,2023-09-08,expense,rentt,47146.0,credit card,delhi,,False,False,False
T3961,U111,2024-07-15,expense,health,5749.0,cash,pune,Internet bill,False,False,False
T13582,U133,2021-04-16,expense,entrtnmnt,5542.0,credit card,kolkata,Petrol,False,True,False
T11104,U121,2021-04-16,expense,travel,3429.0,credit card,mum,Lunch,False,True,False
T8714,U065,2021-06-23,expense,entertain,237.0,bank transfer,jaipur,Petrol,False,False,False
T2709,U138,2021-04-16,expense,savings,8231.0,upi,chennai,Lunch,False,True,False
T2156,U018,2021-04-16,expense,utlities,5455.0,upi,kolkata,EMI payment,False,True,True
T8551,U065,2024-03-20,expense,utilities,2288.0,upi,kolkata,,False,False,False
T10622,U030,2022-01-26,expense,travel,5756.0,bank_transfer,hyd,ATM withdrawal,False,False,False
T9673,U145,2021-04-16,expense,rentt,26728.0,upi,delhi,...,False,True,True
T8967,U125,2021-04-16,income,others,41720.0,bank_transfer,pune,Doctor consultation,False,True,False
T11141,U098,2021-04-16,expense,rent,7335.0,bank transfer,chennai,!!!,False,True,False
T4430,U147,2024-10-04,expense,rent,287.0,credit card,hyderabad,Restaurant dinner,False,False,False
T11810,U060,2021-04-16,income,others,57828.0,upi,ahmedabad,Shopping,False,True,False
T10574,U061,2021-10-28,expense,education,1090.0,unknown,kolkata,Uber ride,False,False,True
T9406,U131,2021-04-16,expense,entertainment,2186.0,crd,bangalore,Online course,False,True,False
T2288,U143,2021-04-16,expense,entrtnmnt,8093.0,credit card,lucknow,asdfgh,False,True,False
T1733,U080,2021-04-16,expense,travel,2272.0,bank transfer,hyd,Gym membership,False,True,False
T13220,U140,2021-04-16,expense,foodd,4549.0,cash,chennai,ATM withdrawal,False,True,False
T9379,U106,2021-11-26,expense,rent,21603.0,cash,jaipur,Petrol,False,False,False
T0617,U046,2021-01-22,expense,fod,1641.0,cash,kolkata,,False,False,False
T13759,U109,2021-04-16,expense,educaton,7941.0,upi,chennai,test,False,True,False
T0147,U114,2021-04-16,expense,travl,7135.0,cash,lucknow,ATM withdrawal,False,True,False
T4332,U089,2021-04-16,expense,food,4265.0,upi,hyderabad,,False,True,False
T12052,U046,2021-04-16,expense,savings,8634.0,bank transfer,luc,Gym membership,False,True,False
T4585,U003,2024-05-21,expense,entertain,1006.0,upi,hyderabad,Medicine,False,False,False
T0859,U132,2021-04-16,expense,travel,475.0,banktransfer,del,,False,True,False
T6964,U028,2021-04-16,expense,saving,5361.0,cash,del,Train ticket,False,True,True
T5011,U129,2022-07-16,expense,travel,4705.0,credit card,bangalore,Restaurant dinner,False,False,True
T13370,U046,2021-09-23,expense,health,788.0,credit card,delhi,Movie tickets,False,False,True
T1330,U108,2022-03-21,expense,rent,5238.0,unknown,unknown,Doctor consultation,False,False,True
T4361,U008,2021-04-16,expense,education,5768.0,bank_transfer,ahmedabad,,False,True,True
T7760,U089,2024-05-11,expense,rent,46614.0,bank transfr,luc,...,False,False,False
T7501,U047,2021-04-16,expense,food,4005.0,cash,kolkata,Monthly rent payment,False,True,False
T13770,U147,2021-04-16,expense,foods,651.0,bank_transfer,che,Coffee,False,True,False
